displacement,cumulative_buoyancy
12000,6212.8
12000,6297.2
12000,6381.6
12000,6466
12000,6550.3
12000,6634.6
12000,6718.9
12000,6803.1
12000,6887.3
12000,6971.4
12000,7055.5
12000,7139.3
12000,7223
12000,7306.5
12000,7389.8
12000,7472.8
12000,7555.7
12000,7638.5
12000,7721
12000,7803.3
12000,7885.4
12000,7967.2
12000,8048.6
12000,8129.6
12000,8210.1
12000,8290.3
12000,8370.1
12000,8449.4
12000,8528.3
12000,8606.9
12000,8685
12000,8762.7
12000,8839.9
12000,8916.4
12000,8992.4
12000,9067.8
12000,9142.5
12000,9216.6
12000,9290
12000,9362.7
12000,9434.6
12000,9505.8
12000,9576.1
12000,9645.7
12000,9714.5
12000,9782.4
12000,9849.5
12000,9915.9
12000,9981.3
12000,10045.7
12000,10109.2
12000,10171.8
12000,10233.4
12000,10294.1
12000,10353.8
12000,10412.5
12000,10470.1
12000,10526.6
12000,10582.1
12000,10636.4
12000,10689.6
12000,10741.7
12000,10792.8
12000,10842.6
12000,10891.3
12000,10938.8
12000,10985.1
12000,11030.2
12000,11074.2
12000,11117
12000,11158.5
12000,11198.9
12000,11238
12000,11275.9
12000,11312.6
12000,11348
12000,11382.2
12000,11415.2
12000,11447
12000,11477.6
12000,11507.1
12000,11535.4
12000,11562.5
12000,11588.5
12000,11613.3
12000,11637
12000,11659.6
12000,11681.1
12000,11701.7
12000,11721.4
12000,11740.2
12000,11758.1
12000,11775.2
12000,11788.8
12000,11798.2
12000,11807
12000,11818.6
12000,11832.1
12000,11845.2
12000,11857.7
12000,11869.8
12000,11881.5
12000,11892.8
12000,11903.7
12000,11915.9
12000,11927.5
12000,11938.6
12000,11949.5
12000,11959.8
12000,11969.6
12000,11978.8
12000,11985.5
12000,11991.2
12000,11995.8
12000,11999
12000,12000
12000,12000
12000,12000
12000,12000
12000,12000
12000,12000
12000,12000
12000,12000
14000,0
14000,0
14000,0
14000,0.8
14000,2.1
14000,3.3
14000,7.8
14000,13
14000,18.3
14000,23.5
14000,28.7
14000,32.8
14000,35.4
