displacement,cumulative_buoyancy
22060,222.9
22060,247
22060,273.4
22060,299.9
22060,329
22060,360.9
22060,395.4
22060,432.6
22060,472.6
22060,515.6
22060,561.6
22060,610.6
22060,662.6
22060,717.6
22060,775.4
22060,836.1
22060,899.7
22060,966.1
22060,1035.2
22060,1106.3
22060,1179.4
22060,1254.5
22060,1331.5
22060,1410.5
22060,1491.4
22060,1574.3
22060,1659.1
22060,1746
22060,1834.7
22060,1925.5
22060,2018.1
22060,2112.8
22060,2209.4
22060,2308
22060,2407.7
22060,2508.1
22060,2609.1
22060,2710.9
22060,2813.4
22060,2916.5
22060,3020.3
22060,3124.8
22060,3229.9
22060,3335.8
22060,3442.3
22060,3549.5
22060,3657.4
22060,3766
22060,3875.3
22060,3985.2
22060,4095.9
22060,4207.2
22060,4319.1
22060,4431.8
22060,4545.2
22060,4659.2
22060,4773.9
22060,4889.3
22060,5005.4
22060,5122.2
22060,5239.6
22060,5357.7
22060,5476.5
22060,5596
22060,5716.2
22060,5836.6
22060,5957
22060,6077.4
22060,6197.9
22060,6318.4
22060,6439
22060,6559.5
22060,6680.1
22060,6800.7
22060,6921.4
22060,7042
22060,7162.7
22060,7283.5
22060,7404.2
22060,7525
22060,7645.8
22060,7766.7
22060,7887.5
22060,8008.4
22060,8129.3
22060,8250.3
22060,8371.3
22060,8492.3
22060,8613.3
22060,8734.4
22060,8855.5
22060,8976.6
22060,9097.7
22060,9218.9
22060,9340.1
22060,9461.3
22060,9582.5
22060,9703.5
22060,9824.5
22060,9945.3
22060,10066
22060,10186.6
22060,10307.1
22060,10427.5
22060,10547.8
22060,10668
22060,10788
22060,10908
22060,11027.8
22060,11147.6
22060,11267.2
22060,11386.7
22060,11506.1
22060,11625.5
22060,11744.6
22060,11863.7
22060,11982.7
22060,12101.6
22060,12220.4
22060,12339
22060,12457.6
22060,12576
22060,12694.3
22060,12812.5
22060,12930.7
22060,13048.7
22060,13166.5
22060,13283.9
22060,13400.8
22060,13517
22060,13632.7
22060,13747.8
22060,13862.3
22060,13976.3
22060,14089.7
22060,14202.5
22060,14314.7
22060,14426.4
22060,14537.5
22060,14648
22060,14758
22060,14867.4
22060,14976.2
22060,15084.4
22060,15192.1
22060,15299.1
22060,15405.7
22060,15511.6
22060,15617
22060,15721.8
22060,15826
22060,15929.6
22060,16032.7
22060,16135.2
22060,16237.1
22060,16338.5
22060,16439.3
22060,16539.5
22060,16638.8
22060,16737.2
22060,16834.7
22060,16931.3
22060,17027
22060,17121.8
22060,17215.6
22060,17308.5
22060,17400.6
22060,17491.7
22060,17581.9
22060,17671.2
22060,17759.5
22060,17847
22060,17933.5
22060,18019.1
22060,18103.8
22060,18187.6
22060,18270.5
22060,18352.5
22060,18433.6
22060,18513.7
22060,18592.9
22060,18671.2
22060,18748.6
22060,18825.1
22060,18900.7
22060,18975.4
22060,19049.1
22060,19121.9
22060,19193.8
22060,19264.8
22060,19334.8
22060,19403.8
22060,19471.9
22060,19539
22060,19605.2
22060,19670.4
22060,19734.6
22060,19797.9
22060,19860.2
22060,19921.5
22060,19981.9
22060,20041.4
22060,20099.8
22060,20157.3
22060,20213.9
22060,20269.5
22060,20324.1
22060,20377.7
22060,20430.4
22060,20482.2
22060,20533
22060,20582.8
22060,20631.6
22060,20679.5
22060,20726.5
22060,20772.5
22060,20817.5
22060,20861.5
22060,20904.6
22060,20946.8
22060,20988
22060,21028.4
22060,21067.8
22060,21106.4
22060,21144.1
22060,21180.9
22060,21216.9
22060,21251.9
22060,21286
22060,21319.3
22060,21351.7
22060,21383.1
22060,21413.7
22060,21443.4
22060,21472.3
22060,21500.3
22060,21527.5
22060,21554
22060,21579.7
22060,21604.7
22060,21628.9
22060,21652.4
22060,21675.1
22060,21697
22060,21718.2
22060,21738.6
22060,21758.2
22060,21777.1
22060,21788.7
22060,21799.1
22060,21809.1
22060,21825
22060,21840.4
22060,21855.2
22060,21863.7
22060,21871.2
22060,21878.5
22060,21891
22060,21902.9
22060,21914.4
22060,21925.4
22060,21936.2
22060,21946.5
22060,21956.6
22060,21966.2
22060,21975.6
22060,21984.6
22060,21993.4
22060,22001.9
22060,22010.1
22060,22018.1
22060,22025.8
22060,22033.2
22060,22040.3
22060,22046.4
22060,22051.5
22060,22055.4
22060,22058.2
22060,22060
22060,22060.6
22060,22060.5
22060,22060.4
22560,0
22560,0
22560,0
22560,0
22560,0
22560,0
22560,0
22560,0
22560,0
22560,2.7
22560,5.4
22560,8.1
22560,10.8
22560,13.6
22560,16.3
22560,19
22560,21.7
22560,24.4
22560,27.1
22560,30
22560,33.1
22560,36.6
22560,40.7
22560,45.5
22560,51.3
22560,57.9
22560,65.5
22560,74
22560,83.5
22560,94.2
22560,106
22560,119
22560,133.2
22560,148.8
22560,165.9
22560,165.9
22560,184.7
22560,205.5
22560,228.4
22560,253.7
22560,281.5
22560,309.5
22560,340.3
22560,373.8
22560,410.2
22560,449.3
22560,491.3
22560,536.3
22560,584.4
22560,635.5
22560,689.6
22560,746.8
22560,806.8
22560,869.7
22560,935.4
22560,1004.1
22560,1075.4
22560,1148.8
22560,1224.2
22560,1301.5
22560,1380.8
22560,1462.1
22560,1545.3
22560,1630.5
22560,1717.6
22560,1806.7
22560,1897.8
22560,1990.8
22560,2085.8
22560,2182.8
22560,2281.7
22560,2382.6
22560,2484.7
22560,2587.4
22560,2690.8
22560,2794.9
22560,2899.7
22560,3005.1
22560,3111.3
22560,3218.1
22560,3325.6
22560,3433.8
22560,3542.7
22560,3652.2
22560,3762.4
22560,3873.4
22560,3984.9
22560,4097.2
22560,4210.2
22560,4323.8
22560,4438.2
22560,4553.2
22560,4668.8
22560,4785.2
22560,4902.3
22560,5020
22560,5138.4
22560,5257.5
22560,5377.3
22560,5497.8
22560,5618.9
22560,5740.7
22560,5863.2
22560,5985.9
22560,6108.7
22560,6231.5
22560,6354.3
22560,6477.2
22560,6600
22560,6722.9
22560,6845.9
22560,6968.8
22560,7091.8
22560,7214.8
22560,7337.8
22560,7460.9
22560,7584
22560,7707.1
22560,7830.3
22560,7953.5
22560,8076.7
22560,8199.9
22560,8323.2
22560,8446.4
22560,8569.8
22560,8693.1
22560,8816.5
22560,8939.9
22560,9063.3
22560,9186.8
22560,9310.3
22560,9433.8
22560,9557.3
22560,9680.9
22560,9804.4
22560,9927.8
22560,10051
22560,10174.2
22560,10297.3
22560,10420.2
22560,10543.1
22560,10665.8
